patient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-LN-A49V-01,0.20181333,0.50728154,0.31389135,0.21090996,0.6017543,0.40599284,0.85596824,0.8922135,0.78586066,0.5353908,0.37099773,0.8506093,0.7786084,0.16669,0.4155157,0.22399613,0.28141475,0.3058341,0.16946226,0.721632,0.578527,0.35206902,0.86993825,0.32432815,0.03693755,0.7283294,0.19972903,0.5873456,0.6037003,0.6049577,1,ESCA
TCGA-LN-A49M-01,0.05795288,0.53439885,0.34549078,0.0,0.7130925,0.47727504,0.8131482,0.9111853,0.93009806,0.6445136,0.14297467,1.0,0.8871763,0.07427381,0.5004583,0.16137508,0.106686234,0.25449404,0.09365533,0.83566797,0.4758742,0.37971142,0.97103,0.30004328,0.007574141,1.0,0.0,0.7281003,0.47132647,0.65575707,1,ESCA
TCGA-IG-A5B8-01,0.13312986,0.5602052,0.34281087,0.08374703,0.6717682,0.4216556,0.8344666,0.8907914,0.8517192,0.6136836,0.23978674,0.9377824,0.83819926,0.13200323,0.44244927,0.17623508,0.17518142,0.26425523,0.14876468,0.7766013,0.49830973,0.35809308,0.9738979,0.31795645,0.0072787404,0.88720876,0.06831336,0.6442307,0.51698464,0.65013707,1,ESCA
TCGA-CN-5365-01,0.52228975,0.2304115,0.30420956,0.5597524,0.17499177,0.48328963,0.17598003,0.6875186,0.3426508,0.47948724,0.53539026,0.59101456,0.39379567,0.2661125,0.8924149,0.5809835,0.700528,0.47478333,0.31977674,0.42963642,0.16582137,0.64086413,0.37480676,0.2944307,0.32276034,0.2727849,0.5007713,0.5352634,0.6947302,0.717878,1,HNSC
TCGA-D7-6815-01,0.5732166,0.24534842,0.56115633,0.8652494,0.72097635,0.79671973,0.43629605,0.61951363,0.2984182,0.62952834,0.55954564,0.2265423,0.25570288,0.24464352,0.48537493,0.34515634,0.74171823,0.5501007,0.60638636,0.35104424,0.58776975,0.3414448,0.5726049,0.22439258,0.6629897,0.40552098,0.5851351,0.6750373,0.37442696,0.5170876,1,STAD
TCGA-CR-7385-01,0.25447547,0.19146228,0.257892,0.51086444,0.5103727,0.69370615,0.4148904,0.72379506,0.71500576,0.40141794,0.42663288,0.7656883,0.612081,0.09017622,0.74856216,0.51144594,0.3106548,0.44321364,0.16058126,0.8526634,0.4956833,0.39708313,0.10327862,0.27060124,0.1797408,0.51612705,0.34469366,0.85996866,0.7535044,0.52291936,1,HNSC
TCGA-D5-6540-01,0.95114183,0.5210775,0.06177839,0.4890475,0.6412705,0.53850466,0.43591213,0.231776,0.41259882,0.2475943,0.84465826,0.39146632,0.93780935,0.28347647,0.37024254,0.9381877,0.20212987,0.20944282,0.7579287,0.06194669,0.39866126,0.61825264,0.533407,0.75234365,0.899583,0.62469757,0.62909317,0.15605262,0.463472,0.6161753,1,COAD
TCGA-CG-4476-01,0.7229707,0.15298635,0.28225878,0.7186762,0.62896293,0.908972,0.61059296,0.6741248,0.12958223,0.42447996,0.74629843,0.116473645,0.1221025,0.20209457,0.5478052,0.46988824,0.9051858,0.6389772,0.7197004,0.24313992,0.9187946,0.113897085,0.82788885,0.4072619,0.8413693,0.39250737,0.9082052,0.4785731,0.48231155,0.14358382,1,STAD
TCGA-CN-6996-01,0.58824027,0.13496464,0.23154518,0.6943032,0.051916957,0.37032902,0.52892995,0.8849592,0.29183504,0.32951745,0.8114309,0.4208431,0.36876372,0.3302207,0.67679447,0.5071112,0.9598137,0.5031964,0.26817113,0.270391,0.5039519,0.5812846,0.44608277,0.29193276,0.36440176,0.037850358,0.8724986,0.25640634,0.8715999,0.622975,1,HNSC
TCGA-CQ-7065-01,0.6191153,0.22354378,0.30418774,0.60186183,0.04566349,0.39502066,0.17173272,0.71556354,0.21618265,0.47396725,0.6244239,0.5025021,0.32060525,0.33386558,0.8943536,0.5879753,0.8740477,0.49031338,0.35922095,0.26571125,0.13020271,0.70514464,0.47385478,0.30137742,0.3757485,0.14990194,0.62367326,0.37820044,0.7116436,0.75986004,1,HNSC
TCGA-CQ-6221-01,0.37894642,0.10069425,0.19228148,0.66056734,0.31253636,0.53253645,0.73065835,0.9208379,0.58431756,0.2623346,0.73553175,0.5527097,0.5403991,0.19348669,0.55521655,0.44944862,0.661089,0.47927803,0.14044878,0.5989726,0.7770344,0.38640878,0.23404749,0.2730051,0.25286788,0.22163475,0.7626849,0.5029036,0.92451185,0.4654032,1,HNSC
TCGA-IG-A3YB-01,0.16657314,0.36472228,0.27000472,0.258029,0.5661123,0.49201316,0.84942794,0.9359736,0.8324079,0.46435994,0.39853948,0.82805127,0.77625203,0.10883617,0.4871582,0.27532762,0.3237539,0.35695723,0.09306221,0.74760705,0.6698538,0.38561243,0.6868361,0.29888746,0.088115424,0.68599004,0.28538162,0.66032475,0.6590409,0.539301,1,ESCA
TCGA-CQ-5325-01,0.5587317,0.12524648,0.22209844,0.695246,0.086778566,0.3903544,0.57652783,0.89961827,0.3349741,0.31217438,0.81232524,0.43351978,0.39429888,0.31190926,0.64797455,0.49474818,0.9252919,0.5007843,0.24593905,0.3141561,0.5619626,0.54824454,0.41639286,0.28887492,0.34897524,0.055620886,0.87252045,0.28190762,0.88796127,0.5941105,1,HNSC
TCGA-BR-6458-01,0.6282805,0.24528588,0.52793425,0.8232481,0.7517415,0.8634447,0.42161548,0.5855309,0.22757292,0.6235288,0.57654834,0.16925609,0.19131854,0.22272281,0.5158117,0.36926636,0.7823565,0.57286996,0.69895244,0.2981896,0.635355,0.26762477,0.6802316,0.274129,0.77679646,0.45549673,0.6529165,0.632336,0.32368964,0.4259102,1,STAD
TCGA-L5-A4OG-01,0.6202177,0.6127399,0.28576848,0.70228267,0.35566464,0.11397657,0.9756277,0.7887153,0.35250515,0.33879343,0.9311493,0.48919916,0.4986157,0.47897947,0.10566619,0.3237569,0.68441164,0.37645674,0.46138394,0.39238963,0.73319083,0.23859914,0.83272296,0.4190389,0.050226107,0.072723344,0.61436164,0.13041061,0.8802681,0.55369925,1,ESCA
TCGA-L5-A8NN-01,0.42139024,0.20450045,0.17521314,0.7058881,0.32159302,0.41730392,0.9282436,0.9317792,0.58535576,0.19756284,0.86514217,0.5189596,0.5621785,0.24605154,0.3749254,0.43637916,0.697267,0.49579248,0.18385313,0.54414403,0.9392601,0.35678074,0.35147387,0.32724625,0.18401703,0.122908846,0.74035126,0.43995783,0.95950675,0.3905949,1,ESCA
TCGA-CN-5361-01,0.43959996,0.15540785,0.23950264,0.6181123,0.25426933,0.511597,0.49663797,0.8224548,0.48212782,0.3539387,0.65125847,0.56870687,0.47841373,0.22425166,0.6974803,0.50495464,0.67804784,0.4774104,0.216178,0.52722925,0.5191047,0.4938792,0.29361492,0.28205714,0.28245246,0.24298781,0.65241313,0.51626617,0.8276007,0.5719969,1,HNSC
TCGA-AZ-4315-01,0.9742999,0.5764271,0.07103731,0.48754156,0.65627235,0.53427386,0.38902098,0.17463523,0.39533505,0.24037038,0.83746374,0.38983116,0.9630774,0.28823805,0.34756738,0.97177196,0.15504235,0.17473069,0.8049157,0.028805077,0.3468758,0.6466117,0.5587783,0.80565757,0.9294562,0.6446816,0.61078024,0.14001709,0.452304,0.64888746,1,COAD
TCGA-CR-6471-01,0.47396156,0.19694246,0.274689,0.5817694,0.2253215,0.5058687,0.32274735,0.74601376,0.42013383,0.42280918,0.5785085,0.5905268,0.44041607,0.23959564,0.8032625,0.54552937,0.6712744,0.47428173,0.26819077,0.49211028,0.33090878,0.5667639,0.32691872,0.28802466,0.2985685,0.27264294,0.5565036,0.543791,0.75350165,0.6467226,1,HNSC
TCGA-CV-5442-01,0.47790983,0.2789452,0.34054542,0.4875155,0.2517628,0.55016756,0.0,0.58549225,0.38295433,0.5551245,0.38687974,0.6865275,0.41493207,0.22607775,1.0,0.6170973,0.55044484,0.4587473,0.34093478,0.52856797,0.0009459257,0.66308415,0.32750228,0.29486156,0.2956983,0.40472835,0.3004271,0.6931944,0.60430074,0.7603865,1,HNSC
TCGA-BR-8486-01,0.6180166,0.24468112,0.57531524,0.876963,0.75190365,0.8389927,0.40746135,0.59318626,0.23768908,0.65622497,0.5598632,0.17505261,0.19952682,0.2534625,0.48869213,0.34485117,0.7743502,0.56783664,0.6676101,0.3111808,0.5843314,0.31522205,0.64074063,0.23974809,0.7273699,0.4158883,0.60557926,0.6714394,0.3267433,0.49439245,1,STAD
TCGA-L5-A4OJ-11,0.48902065,0.32796755,0.20749146,0.71485376,0.326691,0.32120186,0.94476855,0.8871521,0.50730956,0.23551528,0.8961989,0.5027335,0.53757083,0.3216477,0.2885828,0.40494996,0.70167875,0.4617731,0.27228752,0.4923232,0.88118356,0.31934392,0.4937223,0.35645807,0.144531,0.09460384,0.7113816,0.33863872,0.94160944,0.43801615,0,ESCA
TCGA-BA-5557-01,0.5790582,0.17545411,0.26343286,0.6438445,0.07953648,0.4018902,0.37315464,0.8040276,0.28832412,0.39421192,0.7084506,0.4774642,0.36481106,0.3159131,0.77182513,0.5409606,0.8814318,0.49389592,0.2988717,0.30682397,0.3482775,0.6205543,0.43501693,0.294447,0.35694104,0.11588025,0.7344347,0.3467371,0.79742473,0.67319655,1,HNSC
