patient,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-LN-A49M-01,-1.2532458,0.9925274,0.90730417,-1.5065924,1.5511369,-0.062392496,-0.44931978,-0.26776505,1.0522178,1.492261,-1.9248523,2.2146635,0.9943345,-0.4535161,0.27251446,-1.2525434,-2.1687453,-1.1564388,-0.042840805,0.73837525,-1.6227684,-0.046530087,1.567441,0.1544151,-0.55566555,2.8537436,-1.722731,0.42335588,-1.6678166,1.165381,1,ESCA
TCGA-IG-A5B8-01,-0.9702385,1.0519836,0.8964187,-1.3270515,1.3981125,-0.23855425,-0.37416518,-0.34898305,0.7739185,1.3932316,-1.6479303,1.9066007,0.83771753,-0.2570555,0.012130731,-1.191337,-1.9042813,-1.1161706,0.124651164,0.5678973,-1.5552058,-0.11442982,1.5737696,0.20314932,-0.55651516,2.4751763,-1.5640767,0.21680003,-1.5276622,1.145231,1,ESCA
TCGA-CN-5365-01,0.4947722,0.29216033,0.73962486,-0.30656782,-0.44145483,-0.043342702,-2.6955578,-1.1585095,-1.0336279,0.9621786,-0.802384,0.18962097,-0.58337927,0.19933552,2.0318818,0.47577155,0.12411454,-0.24767053,0.6444023,-0.43351036,-2.5564623,0.7737083,0.25176233,0.13914554,0.35083106,0.41295314,-0.55971515,-0.051566944,-0.98204607,1.3881099,1,HNSC
TCGA-D7-6815-01,0.68648875,0.32657403,1.7833115,0.34837157,1.5803308,0.9493744,-1.777854,-1.4293365,-1.1906843,1.4441268,-0.7332898,-1.6150199,-1.0249671,0.12627387,0.2048102,-0.49557126,0.28315252,0.06303913,1.515485,-0.6603427,-1.2858058,-0.16671935,0.68824106,-0.051399074,1.3293535,0.8584622,-0.36378446,0.2926712,-1.9652638,0.6681945,1,STAD
TCGA-CR-7385-01,-0.51342726,0.20242387,0.55148864,-0.4113763,0.80046374,0.6231028,-1.8533163,-1.0140398,0.2884909,0.71141154,-1.1134744,1.054497,0.11464531,-0.39939818,1.3861731,0.18935487,-1.3812101,-0.37790632,0.16056485,0.7874273,-1.5631151,0.008031577,-0.34741563,0.0743155,-0.060502693,1.2296953,-0.92219746,0.74812394,-0.8016302,0.6891037,1,HNSC
TCGA-D5-6540-01,2.109206,0.96183604,-0.2451011,-0.45814848,1.2851795,0.13153817,-1.7792075,-2.9734871,-0.78526384,0.21731341,0.082248285,-0.79841846,1.156247,0.2584274,-0.3119822,1.9470513,-1.8002316,-1.3422905,1.9760627,-1.4947342,-1.8552877,0.7026893,0.6017434,1.3849365,2.0098116,1.5940962,-0.26169404,-0.98549527,-1.6919271,1.0234642,1,COAD
TCGA-CG-4476-01,1.2502452,0.11377782,0.6504635,0.0341408,1.2396044,1.3049074,-1.1633971,-1.2118498,-1.7901694,0.7854892,-0.19910079,-2.1600118,-1.4521893,-0.018525694,0.48503956,0.018183859,0.914311,0.42968515,1.8598766,-0.97177535,-0.2889565,-0.8814098,1.2515731,0.44611233,1.8423852,0.814784,0.3865295,-0.191185,-1.6340963,-0.67096865,1,STAD
TCGA-CN-6996-01,0.743046,0.07225697,0.44447103,-0.018111208,-0.89720196,-0.4011192,-1.4512875,-0.3722095,-1.2140591,0.48045942,-0.012795512,-0.65296274,-0.66342545,0.41750392,1.064031,0.17150056,1.1252328,-0.13045684,0.4875591,-0.8931235,-1.5382149,0.58657855,0.40904617,0.13234968,0.47059453,-0.37557,0.3036026,-0.73834205,-0.43911865,1.0478438,1,HNSC
TCGA-CQ-7065-01,0.85927653,0.27633753,0.7395363,-0.21629159,-0.9203586,-0.3229142,-2.7105312,-1.0468215,-1.4826777,0.9444478,-0.54771155,-0.24863797,-0.8174248,0.4299079,2.040584,0.5045699,0.7940849,-0.1836038,0.7642838,-0.90663016,-2.6637244,0.9756029,0.47033036,0.1580447,0.50322855,0.00051461905,-0.27428153,-0.43838495,-0.9301281,1.5386328,1,HNSC
TCGA-CQ-6221-01,-0.044850484,-0.0066998005,0.28498662,-0.0904359,0.06787392,0.1126352,-0.740125,-0.22932418,-0.17554295,0.26466084,-0.22989795,-4.1142106e-05,-0.11457643,-0.047819383,0.5183068,-0.06600441,-0.028162003,-0.22912845,0.09937689,0.055226617,-0.7158535,-0.025494784,-0.058849543,0.08085539,0.14981571,0.24127525,0.048565954,-0.13126339,-0.27669767,0.4828849,1,HNSC
