,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-BR-6456-01,0.34934768,0.387248,0.45001197,0.7918284,0.6620445,0.77886176,0.29718965,0.6682123,0.7244934,0.6650253,0.35089636,0.7936033,0.191735,0.52737767,0.1573478,0.8402228,0.38586614,0.44249403,0.71314204,0.7029133,0.40922916,0.811555,0.6749576,0.76684415,0.30015165,0.7603354,0.24718863,0.50640595,0.345989,0.20186998,1,STAD
TCGA-BR-6457-01,0.21502039,0.12949756,0.47395724,0.9326147,0.97374725,0.99769473,0.1738205,0.9502139,0.5830676,0.70622855,0.3860116,0.95669675,0.068378404,0.57623273,0.012068231,0.9222983,0.23423263,0.22673526,0.8180264,0.8699254,0.38249892,0.79381704,0.634844,0.8387642,0.24631456,0.83342373,0.08966434,0.35121828,0.30792767,0.12927489,1,STAD
TCGA-BR-6458-01,0.5969906,0.4626151,0.5640123,0.581175,0.38251328,0.69368726,0.4822132,0.5317073,0.7161787,0.7602206,0.51651454,0.68624073,0.3061654,0.3940915,0.28513122,0.79614484,0.25102833,0.64213234,0.53854764,0.4273998,0.24192536,0.76708144,0.73690486,0.52898765,0.4936108,0.6334339,0.35475504,0.7544219,0.2800752,0.31320494,1,STAD
TCGA-BR-6564-01,0.20903823,0.122532934,0.46747917,0.9386728,0.9835491,0.9985299,0.1698561,0.95609343,0.5770645,0.6982497,0.3806129,0.9575541,0.06904931,0.5815,0.013507325,0.91841435,0.24230447,0.2151605,0.8255626,0.87711096,0.3914593,0.7876719,0.62487537,0.84286934,0.23936462,0.83555293,0.087788284,0.33959597,0.31743962,0.12791328,1,STAD
TCGA-BR-6565-01,0.5757967,0.42197487,0.3998227,0.64230597,0.46138006,0.63084507,0.4953555,0.6044268,0.56874245,0.59857213,0.40490383,0.6047601,0.41678163,0.44125426,0.4034314,0.68557656,0.45905733,0.4435485,0.65378815,0.5249758,0.4163543,0.62573814,0.5338346,0.58075625,0.3906887,0.60668266,0.3029865,0.58794284,0.53202015,0.35432804,1,STAD
TCGA-BR-6566-01,0.87425613,0.40914002,0.28903675,0.47400212,0.2626102,0.45481557,0.7638816,0.6076051,0.26433444,0.4807084,0.4645974,0.34415662,0.7468126,0.32993644,0.7554658,0.45998955,0.57544667,0.34093535,0.61997724,0.3377431,0.45677286,0.32231107,0.275937,0.346277,0.48718578,0.38823104,0.31519443,0.6341019,0.8565233,0.5742953,1,STAD
TCGA-BR-6705-01,0.22430614,0.13431379,0.606431,0.83279157,0.8292097,0.9446686,0.15176347,0.71518785,0.77643645,0.70654166,0.45957088,1.0,0.0,0.6188953,0.0014599301,0.88485,0.18947726,0.45103174,0.7165208,0.65999657,0.3383528,0.80719995,0.6906221,0.69540703,0.31000385,0.87514365,0.3637783,0.45283133,0.15939552,0.08166255,1,STAD
TCGA-BR-6706-01,0.49643442,0.52872944,0.6283945,0.66899073,0.4846601,0.8343909,0.39171302,0.6316692,0.8198775,0.93274486,0.514292,0.8049078,0.15072048,0.36251348,0.06924384,1.0,0.09308529,0.6845259,0.53239644,0.58216536,0.12656367,0.99884415,0.96597993,0.69697195,0.4882732,0.7035417,0.18366003,0.8021547,0.07063353,0.2358873,1,STAD
TCGA-BR-6707-01,0.91263413,0.6107533,0.63944095,0.32499266,0.1199615,0.5222329,0.7889008,0.45634145,0.45956966,0.7751514,0.7083556,0.4260037,0.59525037,0.17001355,0.55131745,0.6376478,0.18929076,0.7298982,0.3478381,0.20260194,0.12263906,0.57825565,0.6527232,0.27087143,0.726343,0.36437112,0.3693561,0.9247237,0.37947932,0.57710195,1,STAD
TCGA-BR-6801-01,0.52856266,0.40991595,0.38242608,0.6755965,0.5024884,0.63757676,0.45892578,0.60937595,0.5841963,0.5732289,0.37378043,0.62451106,0.3938577,0.4724666,0.38349366,0.68589264,0.49179208,0.41957128,0.6822256,0.56249136,0.45248342,0.6310143,0.51973915,0.6164094,0.35484204,0.6335335,0.30603075,0.5438327,0.5417731,0.330571,1,STAD
TCGA-BR-6802-01,0.89215994,0.48745963,0.5176281,0.4030611,0.16398025,0.5568551,0.7373572,0.52248085,0.48137966,0.72912973,0.6121638,0.4662254,0.5779896,0.25588095,0.5643792,0.643535,0.27300447,0.6197659,0.46089435,0.23188317,0.20174593,0.55495346,0.5917823,0.3067141,0.6268458,0.4313895,0.35223812,0.87263125,0.48479694,0.51048744,1,STAD
TCGA-BR-6803-01,0.23416576,0.15236387,0.4829084,0.9219281,0.95482326,1.0,0.18922296,0.9531374,0.58456707,0.73292583,0.39701676,0.94965744,0.07271156,0.5544829,0.0082685165,0.93891275,0.21150088,0.24392222,0.8025505,0.8660582,0.3567322,0.8131141,0.66286886,0.8388096,0.2634659,0.82227635,0.069568574,0.38037133,0.29035914,0.13841815,1,STAD
TCGA-BR-6852-01,0.79939735,0.42659733,0.58037555,0.41713345,0.19223309,0.57405144,0.64342886,0.43114677,0.60528076,0.6992277,0.61701137,0.5551873,0.47467843,0.34015518,0.49808964,0.6370811,0.26645464,0.6880726,0.45882285,0.18750143,0.22363788,0.57131165,0.60108876,0.28526312,0.6021248,0.5137835,0.5023994,0.841881,0.39563447,0.429143,1,STAD
TCGA-BR-7722-01,0.5730438,0.52955115,0.41171628,0.6590946,0.4468434,0.658984,0.49666524,0.6284215,0.6201675,0.6938278,0.39381856,0.6117198,0.3851879,0.39009196,0.3320487,0.7838906,0.40573728,0.49105376,0.6302679,0.59080774,0.3526442,0.75380456,0.66638964,0.66690075,0.4047791,0.6074677,0.19670755,0.6540407,0.44976407,0.34923643,1,STAD
TCGA-BR-8373-01,0.21874887,0.30157408,0.2972048,0.84064555,0.69672,0.6097957,0.20995021,0.4904477,0.76112646,0.32431194,0.18020305,0.75013006,0.24463332,0.7364826,0.30693555,0.5972122,0.7689466,0.34131342,0.84362864,0.6797425,0.73925173,0.5957669,0.36309764,0.7494712,0.12299051,0.8288175,0.5280198,0.25188193,0.6131358,0.15782066,1,STAD
TCGA-BR-8381-01,0.63525605,0.4037138,0.6252759,0.49884683,0.29132968,0.6367999,0.4965697,0.39279234,0.7644355,0.7043316,0.5747132,0.6836479,0.3153435,0.431067,0.34876707,0.70452744,0.25616693,0.7327152,0.48872888,0.25560275,0.24816632,0.6782842,0.6762231,0.3777749,0.5351449,0.6339669,0.5618471,0.7843362,0.26720864,0.31129885,1,STAD
TCGA-BR-8486-01,0.48986307,0.35255882,0.17049861,0.7297535,0.557829,0.4975294,0.46409875,0.5982614,0.44893333,0.29419228,0.21457541,0.50947505,0.5418364,0.58034354,0.57598335,0.47846752,0.8324767,0.20643282,0.8259672,0.6207419,0.73281455,0.40443778,0.20722917,0.63628685,0.20762694,0.615185,0.3690741,0.31220573,0.8901963,0.37076753,1,STAD
TCGA-BR-8682-01,0.2768071,0.30576983,0.27438062,0.93947417,0.888626,0.8352028,0.27157784,0.9274856,0.500754,0.5823762,0.23500842,0.77017355,0.2524042,0.5482631,0.17826697,0.8319874,0.5037921,0.1339056,0.8768896,0.95304024,0.5383061,0.73618585,0.52456033,0.928487,0.17447996,0.7497418,0.0,0.29901126,0.5661378,0.22530328,1,STAD
TCGA-BR-8690-01,0.35931668,0.26840964,0.49532247,0.6826968,0.53370214,0.6346122,0.28525174,0.38923576,0.81924915,0.46386623,0.38182318,0.77882373,0.21830273,0.65816903,0.30139452,0.6186473,0.52328104,0.5525988,0.6800307,0.4301297,0.530903,0.60593176,0.47957528,0.5297109,0.30281872,0.78840435,0.6662726,0.46632427,0.41082922,0.17996411,1,STAD
TCGA-BR-A4J4-01,0.74127483,0.3412347,0.5905136,0.42694092,0.22505629,0.56307656,0.5877856,0.37425065,0.6402012,0.6190047,0.60836804,0.59447205,0.4405134,0.41907042,0.5039772,0.57707924,0.31452098,0.6835613,0.48296398,0.14662671,0.287911,0.5093953,0.5243389,0.24420157,0.5668479,0.5598253,0.63106173,0.7733049,0.41038692,0.38753778,1,STAD
TCGA-CD-5798-01,0.44438043,0.46857163,0.5356798,0.75041413,0.61222845,0.8609148,0.36566013,0.7565359,0.7092483,0.8703025,0.44891292,0.8002939,0.17590153,0.3912472,0.081870615,0.9824041,0.16875386,0.51908624,0.6254964,0.707735,0.21083993,0.94587964,0.8691072,0.77579194,0.41250858,0.7081697,0.07977599,0.6760692,0.19216228,0.23918705,1,STAD
TCGA-CD-5799-01,0.77049565,0.41186306,0.24198881,0.56234646,0.3653658,0.4865831,0.68773586,0.65483814,0.2897262,0.45659,0.38803983,0.38585287,0.6942241,0.37658828,0.6905902,0.49574026,0.63102496,0.27729803,0.6854686,0.46211767,0.51819766,0.37061495,0.27974164,0.46429244,0.4079931,0.44188303,0.25758785,0.5476079,0.8675711,0.5265205,1,STAD
TCGA-CD-5800-01,0.072057605,0.015733719,0.27731532,0.8540844,0.7789128,0.5221508,0.07379097,0.3034417,0.8047503,0.0,0.13499218,0.81618476,0.21122184,0.99171007,0.4139536,0.333007,1.0,0.2766434,0.9395528,0.52691054,0.99999994,0.3106221,0.023025386,0.5828596,0.0,0.9399146,0.9572463,0.0,0.7696922,0.06492235,1,STAD
TCGA-CD-5801-01,0.94996953,0.7557694,0.7763072,0.18853384,0.046358228,0.39452547,0.88604015,0.30979663,0.36506736,0.71859455,0.8306062,0.31113285,0.6928127,0.08127999,0.6351521,0.5082124,0.18283385,0.84320647,0.20402896,0.11770791,0.10454512,0.48128298,0.594929,0.15940171,0.84914476,0.24077952,0.487479,0.9229103,0.34979987,0.70827544,1,STAD
TCGA-CD-5803-01,0.3904436,0.37479773,0.5920395,0.7556574,0.65308964,0.8939731,0.3047462,0.7238137,0.7564639,0.851644,0.47936583,0.87223303,0.10649526,0.4483139,0.041760843,0.96914804,0.13276547,0.5423879,0.62558293,0.6626662,0.21257508,0.9253938,0.8518782,0.73051405,0.4073473,0.7594882,0.18340588,0.64694124,0.13438708,0.18759258,1,STAD
TCGA-CD-5813-01,0.32590035,0.28634343,0.5883873,0.7861436,0.7181368,0.90438175,0.24721593,0.7150559,0.76301634,0.7846721,0.46354234,0.9145139,0.07240367,0.5175323,0.03479775,0.9285393,0.17123008,0.5030392,0.6647818,0.6630051,0.2727583,0.873605,0.77997476,0.7189967,0.36412686,0.80281806,0.2568305,0.5656999,0.15743378,0.14889301,1,STAD
TCGA-CD-8529-01,0.29436627,0.3533912,0.36822754,0.8233779,0.6911359,0.71110034,0.26441598,0.61883706,0.7174852,0.51985157,0.26877832,0.7677412,0.2242648,0.6101994,0.22393766,0.7407699,0.5559385,0.37399983,0.78000635,0.7174053,0.555191,0.71848565,0.5360545,0.7765921,0.21760249,0.7832866,0.3339054,0.38748133,0.47849792,0.1900243,1,STAD
