,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,tumor,project
TCGA-BR-6456-01,0.16883105,0.11653758,0.039415233,0.14791068,0.842074,0.88055456,0.7717383,0.07978763,0.1917413,0.07564469,0.4648595,0.6721246,0.103938356,0.10411011,0.8881192,0.92007166,0.83084893,0.84106064,0.86725056,0.94464046,0.89443743,0.1665287,0.84216446,0.3628324,0.7933319,0.18384849,0.38735035,0.2874887,0.15143324,0.13259327,1,STAD
TCGA-BR-6457-01,0.04733237,0.0647231,0.055691116,0.056919873,0.95127803,0.9521603,0.8922775,0.04696265,0.08639568,0.02435296,0.33382386,0.5202751,0.026313037,0.03293793,0.96643704,0.9639883,0.93566823,0.9233494,0.95608526,0.99014926,0.98056924,0.06192833,0.93779933,0.24572942,0.916783,0.07803921,0.22780201,0.1411669,0.057015337,0.03718588,1,STAD
TCGA-BR-6458-01,0.38959518,0.37776306,0.09149105,0.28065315,0.62477314,0.7247127,0.59876883,0.21150208,0.35790038,0.22683564,0.4804858,0.6679268,0.28576785,0.27302617,0.72033054,0.6755731,0.6632663,0.63397944,0.675573,0.8357375,0.80086184,0.35357076,0.67695224,0.54033625,0.5984309,0.35863307,0.5077815,0.5111133,0.27911642,0.3194407,1,STAD
TCGA-BR-6564-01,0.04528881,0.097750254,0.069403835,0.03752017,0.96408457,0.96036935,0.9221463,0.034854457,0.065188766,0.040841706,0.31027097,0.47699875,0.031252168,0.04405412,0.974581,0.9517016,0.9494606,0.9316096,0.96511257,0.9861046,0.97585523,0.05059407,0.9521811,0.19678071,0.93727756,0.06305046,0.19333842,0.12733045,0.039283134,0.02938636,1,STAD
TCGA-BR-6565-01,0.39425537,0.2570897,0.078787945,0.33117756,0.59512746,0.695189,0.49784976,0.29902452,0.41699523,0.17345165,0.39255,0.9269185,0.30793256,0.21545598,0.6948954,0.6877569,0.6260889,0.6466179,0.6550119,0.84253013,0.72662055,0.37653232,0.6390499,0.62211573,0.5424685,0.39166948,0.6252825,0.48546904,0.33703414,0.3438002,1,STAD
TCGA-BR-6566-01,0.70859,0.4828232,0.5056635,0.7009212,0.27714443,0.31996566,0.13430113,0.7479938,0.7661491,0.5269278,0.593142,0.97262704,0.669855,0.52500826,0.32648224,0.33661675,0.27614814,0.3442654,0.30968428,0.4371248,0.2924605,0.709823,0.27845097,0.8835776,0.21004003,0.7406934,0.9656681,0.72507507,0.725586,0.69071394,1,STAD
TCGA-BR-6705-01,0.025275193,0.053804442,0.06372074,0.042471185,0.96734643,0.96128607,0.90783083,0.05298479,0.06999922,0.01647079,0.2834326,0.48849827,0.014213532,0.01869315,0.97637993,0.9606379,0.9534753,0.93527514,0.9683049,0.9956779,0.9929664,0.044265293,0.952469,0.22700337,0.9369492,0.061072864,0.19670448,0.10940832,0.04223077,0.022308823,1,STAD
TCGA-BR-6706-01,0.3390052,0.3389875,0.08270443,0.25776884,0.6525698,0.7506197,0.63049465,0.1671018,0.33025634,0.20611608,0.5091707,0.5489016,0.23653679,0.2530949,0.7473755,0.7257073,0.69589883,0.6444211,0.70446146,0.8575982,0.8626703,0.3238755,0.70705163,0.53720105,0.6333084,0.33228534,0.48196384,0.49871224,0.25250813,0.28357962,1,STAD
TCGA-BR-6707-01,0.7000738,0.675229,0.5292661,0.63481426,0.28412765,0.34265745,0.24992883,0.64941114,0.7009634,0.60101664,0.6321225,0.53208,0.652357,0.60444325,0.34425032,0.28151262,0.32305795,0.28767514,0.31601077,0.43588182,0.42710796,0.69174695,0.3225758,0.8134334,0.27133167,0.70606154,0.8026732,0.77397245,0.64529413,0.6696617,1,STAD
TCGA-BR-6801-01,0.39462247,0.3060943,0.08118997,0.3108507,0.6161084,0.71603966,0.5507334,0.26558805,0.3843121,0.18922198,0.40792358,0.7720461,0.29504687,0.24067183,0.7099199,0.68112874,0.64561546,0.6565303,0.6691476,0.83690184,0.7557726,0.35958314,0.659681,0.5724776,0.5739261,0.3663777,0.5262983,0.472794,0.30861133,0.33194858,1,STAD
TCGA-BR-6802-01,0.6177352,0.5322267,0.3982275,0.57317615,0.34769022,0.4212832,0.27565783,0.5915339,0.6521309,0.4645867,0.5471795,0.7079631,0.5615522,0.47922564,0.42431742,0.38153338,0.38944346,0.36759126,0.3910811,0.5526682,0.51764166,0.6210884,0.38909912,0.8274623,0.3182329,0.6399365,0.7933619,0.70334035,0.5808155,0.5937225,1,STAD
