,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,tumor,project
TCGA-BR-6565-01,2.1099849,-1.138622,2.422522,-1.6622127,-1.8415015,-1.7019302,-1.7542601,1.955142,1.6678627,-1.5173446,-2.0270655,1.9941819,-2.173198,1.2361575,1.6150285,-2.148261,-1.7982512,2.3124945,1.4741838,-2.0551443,-1.2709469,-1.8646039,1.2424238,-1.200549,-1.9711471,1.09605,-1.9347503,-1.159155,0.8083109,1.5074469,-1.3228706,-1.3758488,1.9174227,1.5290523,-2.098517,1.2587804,1.8711843,0.856441,-1.513098,1.1703472,-1.8061323,1.8900661,-2.2097852,-1.5541409,1.2145485,-1.1447366,1.586973,-0.44818866,-1.8044736,1.558067,1,STAD
TCGA-D7-6520-01,0.98783606,-0.23986512,1.3534569,-0.9677312,-0.80334556,-0.9245858,-0.701084,1.0565656,0.6430757,-0.89805114,-0.95487535,0.89796585,-1.0342478,0.69983554,0.67320514,-1.5132642,-0.86895144,1.1779388,0.408261,-0.9025892,-0.811831,-0.6739651,0.36801362,-0.29433146,-0.86303633,0.047356512,-0.86606586,-0.20388745,1.0672894,0.5884444,-0.60417175,-0.5449978,1.2282566,0.79108876,-1.0554436,0.67828554,0.80822146,0.4080799,-0.5675687,0.7790276,-0.5904095,1.4000223,-1.2927155,-1.0327783,0.2661426,-0.46973974,0.54609656,0.49717212,-1.0742121,0.87181413,1,STAD
TCGA-HU-A4H0-01,2.6665113,-1.5976204,2.9373465,-1.9773047,-2.3616018,-2.076931,-2.2826414,2.3915615,2.2004848,-1.7883482,-2.5534928,2.5428123,-2.740409,1.4913692,2.0923119,-2.4216928,-2.2463827,2.8626616,2.0074916,-2.635565,-1.4883009,-2.4623756,1.6838616,-1.6707267,-2.5314314,1.6300008,-2.4650114,-1.642554,0.61509305,1.9741696,-1.6750871,-1.786228,2.2347271,1.8811783,-2.6126895,1.5438865,2.389559,1.075887,-1.9955074,1.335336,-2.424527,2.0898886,-2.648198,-1.7807987,1.7031331,-1.480733,2.1132607,-0.9631556,-2.1455317,1.8783207,1,STAD
TCGA-CG-5730-11,1.783562,-0.8761313,2.1054645,-1.4582592,-1.5332149,-1.4733154,-1.4453726,1.6879072,1.3765016,-1.3298695,-1.7151246,1.6729496,-1.8400027,1.077668,1.3391984,-1.9607956,-1.5214607,1.9755754,1.161436,-1.7202086,-1.133563,-1.5214603,0.9931947,-0.94168735,-1.6439142,0.7920239,-1.6151488,-0.87480056,0.8877007,1.2437397,-1.1158406,-1.1358129,1.7115003,1.3097705,-1.79236,1.085695,1.5707139,0.71890414,-1.2434391,1.0472188,-1.4549335,1.7454306,-1.9380332,-1.403138,0.9390239,-0.9481216,1.2888405,-0.17574903,-1.5846744,1.3541442,0,STAD
TCGA-BR-6705-01,1.5296652,-0.67156553,1.8685653,-1.308556,-1.3014386,-1.2960778,-1.2059568,1.4846369,1.1388721,-1.201577,-1.471811,1.4224397,-1.5829461,0.9623587,1.122291,-1.8247087,-1.3184314,1.7214448,0.9223303,-1.4575666,-1.0389892,-1.2497797,0.7893779,-0.7329378,-1.3901922,0.5520433,-1.3744323,-0.6580928,0.95574284,1.0323944,-0.9525131,-0.94705296,1.5636178,1.1478261,-1.5559714,0.95691407,1.3284888,0.6212895,-1.0222459,0.9676206,-1.1805345,1.6402225,-1.7350576,-1.2881366,0.72109467,-0.79492813,1.050557,0.04838387,-1.4268653,1.2033864,1,STAD
TCGA-D7-6522-01,0.48317182,0.020411626,0.7444808,-0.5183996,-0.34839988,-0.47388366,-0.2533942,0.5555938,0.29847568,-0.4670399,-0.44305217,0.46424627,-0.5142887,0.35383195,0.29798222,-0.9862532,-0.37436384,0.56433403,0.035523213,-0.45475325,-0.48454854,-0.26008034,0.10716784,-0.02103486,-0.42793363,-0.24041514,-0.3761745,0.034549173,0.8842443,0.30045393,-0.33098385,-0.28015372,0.71792424,0.40728217,-0.56521726,0.3504325,0.42288876,0.1410965,-0.24255827,0.4391051,-0.17830124,0.9264202,-0.7408671,-0.61811405,0.010151096,-0.19470415,0.17988642,0.647157,-0.61200017,0.45941958,1,STAD
TCGA-CG-5722-01,0.8385765,-0.2088033,1.1303241,-0.7980929,-0.66485375,-0.75133896,-0.5699552,0.8726389,0.57620746,-0.7263834,-0.7881868,0.7883308,-0.8711632,0.56480134,0.56940824,-1.2916613,-0.6912789,0.960663,0.3271595,-0.7924949,-0.6775896,-0.5907543,0.3308772,-0.24749821,-0.7489481,0.015216855,-0.71151733,-0.19203469,0.9451083,0.5445535,-0.5455724,-0.5072232,1.0177975,0.6579936,-0.90367913,0.5542557,0.7339333,0.30056092,-0.506707,0.6252202,-0.50919366,1.1871153,-1.0883387,-0.85916483,0.24370421,-0.39413577,0.4671415,0.46749118,-0.895266,0.71380264,1,STAD
TCGA-CG-5717-01,1.6706121,-0.78157806,2.0004218,-1.3922782,-1.4271318,-1.3919322,-1.3358511,1.597959,1.2676965,-1.2728804,-1.6050968,1.5627644,-1.7221396,1.0263219,1.2404444,-1.9050422,-1.4265552,1.8625028,1.0499234,-1.6054438,-1.0913584,-1.3967149,0.9011265,-0.84271634,-1.5316008,0.67846054,-1.5071868,-0.77612525,0.9267289,1.1498865,-1.0439799,-1.0506071,1.6475396,1.234192,-1.6881522,1.026266,1.4632564,0.67345655,-1.146907,1.0124495,-1.3280859,1.703172,-1.8512527,-1.3541154,0.8392575,-0.87576836,1.178956,-0.06879081,-1.5150625,1.2843716,1,STAD
TCGA-FP-7998-01,2.4854014,-1.442569,2.7893229,-1.8901528,-2.2023194,-1.968429,-2.1139982,2.2606459,2.0236745,-1.7193472,-2.3892982,2.36363,-2.5645666,1.4181902,1.9384396,-2.35457,-2.1154861,2.6982946,1.8346369,-2.4405231,-1.4344383,-2.2672224,1.531903,-1.5147558,-2.3494604,1.4490756,-2.2993488,-1.4769393,0.6978209,1.815127,-1.5609235,-1.6506814,2.152162,1.7782097,-2.4517746,1.4609843,2.2146986,1.0119414,-1.8270392,1.2998377,-2.224957,2.0448897,-2.5194128,-1.7184442,1.5345285,-1.3763264,1.939737,-0.77147067,-2.0504823,1.7886761,1,STAD
TCGA-CG-4474-01,2.0034773,-1.0723187,2.3305047,-1.597372,-1.7577521,-1.6273041,-1.6682147,1.8668791,1.587762,-1.4621043,-1.9244059,1.8974807,-2.0726163,1.1803647,1.5364728,-2.082404,-1.711564,2.2076457,1.3931507,-1.9458363,-1.2321751,-1.7673533,1.1641673,-1.1301967,-1.8731165,1.0141549,-1.8419958,-1.0820414,0.81394845,1.4299097,-1.2582046,-1.3077726,1.8542284,1.4654479,-2.0057275,1.2009795,1.7782404,0.81230927,-1.4242765,1.1330097,-1.7067513,1.8273146,-2.1197536,-1.4984466,1.1358476,-1.0956796,1.4969138,-0.37319258,-1.730818,1.4950464,1,STAD
TCGA-BR-6456-01,1.2075046,-0.4120368,1.5545965,-1.1038625,-0.99753845,-1.0669825,-0.8990936,1.2241213,0.8393139,-1.0187918,-1.15954,1.1091267,-1.2511642,0.80426675,0.85103023,-1.638943,-1.0458236,1.390901,0.61228305,-1.1280308,-0.8990504,-0.9070132,0.5390937,-0.46905324,-1.0723045,0.25068322,-1.0648254,-0.38670194,1.030515,0.7695883,-0.7461857,-0.7105145,1.3582879,0.9327992,-1.2560973,0.7854975,1.02394,0.4867426,-0.7527458,0.8500943,-0.82632285,1.4972184,-1.4683796,-1.1334256,0.44917148,-0.5966142,0.74987674,0.318638,-1.2131054,1.0019234,1,STAD
TCGA-BR-6564-01,2.5070345,-1.473473,2.7917893,-1.8858826,-2.218468,-1.9685661,-2.1351657,2.2650077,2.0514288,-1.7110064,-2.402493,2.3858638,-2.579167,1.419103,1.9586319,-2.3382483,-2.1206324,2.7067719,1.8615602,-2.4692738,-1.4268119,-2.2947183,1.5574054,-1.5416576,-2.3735924,1.4850795,-2.3161016,-1.5107657,0.6552392,1.8406008,-1.5743498,-1.6707982,2.1423624,1.7807999,-2.4663405,1.4642543,2.238299,1.0168632,-1.8553596,1.2876438,-2.254416,2.024443,-2.5214865,-1.7100558,1.5696381,-1.3869625,1.9639034,-0.8257715,-2.0480971,1.78467,1,STAD
TCGA-F1-6177-01,2.7859807,-1.6943134,3.0615306,-2.053409,-2.4762342,-2.1606307,-2.3953068,2.4901202,2.3129594,-1.8562691,-2.6680098,2.667727,-2.8603597,1.5480694,2.196066,-2.4971385,-2.342014,2.9886482,2.1238155,-2.7669497,-1.543066,-2.5874236,1.7775201,-1.7630543,-2.6595395,1.7360024,-2.5872097,-1.7480173,0.5868021,2.0739634,-1.7544361,-1.8756503,2.3171763,1.9539784,-2.7316372,1.6074419,2.502531,1.1289662,-2.099298,1.3834541,-2.554863,2.1428013,-2.756539,-1.8396634,1.8069384,-1.5512489,2.2188425,-1.0586812,-2.2272263,1.9501289,1,STAD
TCGA-BR-4255-01,1.4300472,-0.62279356,1.7490102,-1.23164,-1.216064,-1.2171685,-1.1217092,1.3899895,1.0584228,-1.1318156,-1.3744875,1.3190564,-1.4772034,0.9089523,1.0410157,-1.7255797,-1.239195,1.6060398,0.8486578,-1.3592546,-0.9782968,-1.1560906,0.72624016,-0.67747104,-1.2912673,0.49897498,-1.2777731,-0.6059449,0.9121641,0.95538497,-0.88773626,-0.88488805,1.4712363,1.0798633,-1.452771,0.9044134,1.2415482,0.58777636,-0.94648564,0.9119058,-1.0880257,1.5532333,-1.6273977,-1.2160896,0.6666434,-0.7460425,0.9727403,0.07096301,-1.3437595,1.1279526,1,STAD
TCGA-CD-5799-01,0.67381406,0.0023959726,1.0484817,-0.7372522,-0.5270903,-0.7132069,-0.42181152,0.80487335,0.38218462,-0.6871799,-0.65919864,0.59627926,-0.7321059,0.53742474,0.43060976,-1.2837844,-0.60570616,0.8538684,0.12403768,-0.59595156,-0.6749365,-0.35242385,0.14392745,-0.069427,-0.57248753,-0.22864015,-0.57410336,0.048735056,1.0536892,0.3445319,-0.39489648,-0.31060034,1.0016857,0.5814493,-0.7607533,0.5184617,0.4946721,0.29146403,-0.31500825,0.6425522,-0.26768154,1.2217803,-1.025658,-0.8536925,0.017622635,-0.2789863,0.27198315,0.71098185,-0.8542084,0.6736496,1,STAD
TCGA-BR-4367-01,1.8931774,-0.9783156,2.2022495,-1.5144545,-1.6399446,-1.5395312,-1.5526128,1.7686421,1.4847537,-1.3794796,-1.8161274,1.7833563,-1.949089,1.1254784,1.4355811,-2.00292,-1.6070861,2.0813737,1.2745694,-1.8378977,-1.1717894,-1.6435246,1.0834641,-1.0401348,-1.7586771,0.9080347,-1.7214472,-0.9835771,0.82946485,1.3403411,-1.1873932,-1.2220298,1.7653291,1.3768204,-1.892588,1.1396961,1.6738826,0.7622248,-1.3409845,1.0749639,-1.5845132,1.7694491,-2.018928,-1.4369763,1.0455601,-1.0153271,1.3954757,-0.29248947,-1.647893,1.4109104,1,STAD
TCGA-B7-5818-01,1.4117547,-0.562239,1.7775115,-1.25543,-1.1943086,-1.2249889,-1.0958389,1.40487,1.0173602,-1.1613822,-1.3615192,1.3054802,-1.462524,0.9163273,1.0197172,-1.7929761,-1.227903,1.6168604,0.8002129,-1.3298075,-1.0087587,-1.1106828,0.68298864,-0.6208395,-1.269277,0.42015404,-1.2665311,-0.53788215,1.0258628,0.92398095,-0.87276965,-0.84727514,1.5196012,1.0789815,-1.4527475,0.900705,1.2124981,0.5822729,-0.9126488,0.95007885,-1.0344149,1.6226617,-1.6581779,-1.2584457,0.5991511,-0.7241724,0.9287899,0.18415059,-1.3679602,1.1439865,1,STAD
TCGA-BR-4279-01,1.016647,-0.38739872,1.2744932,-0.8843601,-0.83481026,-0.84905624,-0.7473867,0.9910803,0.76979375,-0.79687226,-0.95187056,0.9769421,-1.0501428,0.6257211,0.73047394,-1.3421726,-0.821816,1.1168944,0.5266878,-0.9930301,-0.72581947,-0.81132525,0.5043844,-0.4238451,-0.936754,0.2276223,-0.8798787,-0.39056084,0.8443801,0.7232901,-0.6724208,-0.666015,1.087346,0.7644935,-1.0683328,0.629075,0.9336276,0.35572675,-0.6820057,0.65257627,-0.7340689,1.2097843,-1.2026838,-0.90704125,0.43254948,-0.5122758,0.657311,0.25292626,-0.98061156,0.8000152,1,STAD
